#,Theme,Paper,Citation,Year,Venue,DOI,Dataset,Input Representation,Model Architecture,SV Types,Sequencing Platform,Strengths,Weaknesses,Limitations,Research Gap
1,A,A universal SNP and small-indel variant caller using deep neural networks,Poplin et al. 2018,2018,Nature Biotechnology,10.1038/nbt.4235,"GIAB (HG001-007), 1000G",Pileup RGB image (read base/qual/strand channels),Inception-v2 CNN,"SNV, short indel",Illumina short-read; extended to PacBio/ONT,First image-based caller; state-of-art SNP accuracy; platform-transferable,Small indels only (<50 bp); heavy compute; fixed image window,Not designed for SVs; localized pileup cannot span long events,No SV support; static RGB encoding
2,A,DeepSV: accurate calling of genomic deletions from high-throughput sequencing data using deep convolutional neural network,Cai et al. 2019,2019,BMC Bioinformatics,10.1186/s12859-019-3299-y,"1000 Genomes Phase 3 (20 individuals, chr1-22)","Hand-crafted RGB pileup image; base color modulated by 4 binary signature bits (paired, discordant, mapQ>20, split)","Custom CNN (TensorFlow), 256x256 images",Long deletions (>50 bp),Illumina short-read (10x-60x),Extends image-calling to SVs; integrates depth+split+discordant in one image; strong precision vs 8 callers,Deletions only; k-means clustering candidate step is brittle; manual color scheme,Fixed 50 bp windows; single-scale; short-read only; no long-read/CNN-alternative,The whole DeepSV design space this project targets
3,A,Training Genotype Callers with Neural Networks,Torracinta & Campagne 2016,2016,bioRxiv (preprint),10.1101/097469,Simulated + GIAB,Read tensor,Feedforward/CNN,SNV genotype,Illumina,Early proof NN can learn genotype calling,Toy scope,No SV,No SV
4,A,Clairvoyante: a multi-task convolutional deep neural network for variant calling in Single Molecule Sequencing,Luo et al. 2018,2018,bioRxiv (preprint),10.1101/310458,GIAB HG001,Pileup summary tensor (base counts per position),Multi-task CNN,"SNV, indel",Illumina; PacBio; ONT,First multi-task NN caller across platforms; fast,Small variants only; tensor summary loses read-level detail,No SV; limited context window,No SV support
5,A,A multi-task convolutional deep neural network for variant calling in single molecule sequencing,Luo et al. 2019,2019,Nature Communications,10.1038/s41467-019-09025-z,"GIAB, single-molecule reads",Pileup summary tensor,Multi-task CNN (Clairvoyante),"SNV, indel","PacBio, ONT",Runs on noisy long reads; multi-task genotype output,<50 bp variants; summary tensor,No SV; limited receptive field,No SV support
6,A,Symphonizing pileup and full-alignment for deep learning-based long-read variant calling,Zheng et al. 2022,2022,Nature Computational Science,10.1038/s43588-022-00387-x,"GIAB, ONT/PacBio HiFi","Pileup + full-alignment representation, two-stage",Pyramid CNN (Clair3),"SNV, indel","ONT, PacBio HiFi, Illumina",SOTA long-read small-variant accuracy; combines pileup and full-alignment,Small variants; not SV-aware,Two representations hand-designed; no SV,No SV; representation still engineered
7,A,Haplotype-aware variant calling with PEPPER-Margin-DeepVariant enables high accuracy in nanopore long-reads,Shafin et al. 2021,2021,Nature Methods,10.1038/s41592-021-01299-w,"GIAB, ONT",Pileup image (DeepVariant) + haplotagging,RNN (PEPPER) + CNN (DeepVariant) + Margin,"SNV, indel",ONT,Haplotype-aware; nanopore small-variant SOTA in 2021,No SV; pipeline complexity,SV out of scope,No SV support
8,A,"Accurate, scalable cohort variant calls using DeepVariant and GLnexus",Yun et al. 2020,2020,Bioinformatics,10.1093/bioinformatics/btaa1081,GIAB cohorts,DeepVariant pileup + gVCF merge,CNN + GLnexus joint genotyping,"SNV, indel",Illumina,Scalable cohort joint calling,Small variants only,No SV,No SV support
9,A,DeNovoCNN: a deep learning approach to de novo variant calling in next generation sequencing data,Khazeeva et al. 2022,2022,Nucleic Acids Research,10.1093/nar/gkac511,In-house trios,Parent-child pileup images,CNN (DeNovoCNN),De novo SNV/indel,Illumina,Trio image encoding for de novo detection,Small variants; trio-specific,No SV; needs trios,Trio-conditioned SV calling unexplored
10,B,LSnet: detecting and genotyping deletions using deep learning network,Luo et al. 2023,2023,Frontiers in Genetics,10.3389/fgene.2023.1189775,"1000G, GIAB",Pileup-style image of alignment signals,CNN (LSnet),Deletions + genotyping,Illumina short-read,Short-read DEL detection + genotyping; DeepSV-like lineage,Deletions only; single-scale image,Fixed window; static encoding; CNN-only,Direct successor space to DeepSV: multi-scale/attention/learnable encoding
11,B,ResNet Combined with Attention Mechanism for Genomic Deletion Variant Prediction,Yang et al. 2024,2024,Automatic Control and Computer Sciences,10.3103/s0146411624700147,1000G deletion set,Pileup image (DeepSV-style),ResNet + attention module,Deletions,Illumina short-read,Adds attention + residual to image DEL calling,Deletions only; incremental over DeepSV,Still fixed RGB image; single-scale,Confirms attention helps but leaves encoding/multi-scale open
12,B,Automated filtering of genome-wide large deletions through an ensemble deep learning framework,Hu et al. 2022,2022,Methods,10.1016/j.ymeth.2022.08.001,1000G large deletions,Pileup image,Ensemble CNN,Large deletions,Illumina short-read,Ensembling improves DEL precision,Deletions only; ensemble cost,Fixed image; no multi-scale,Single unified multi-scale model
13,B,sv-channels: filtering genomic deletions using one-dimensional convolutional neural networks,Santuari et al. 2024,2024,bioRxiv (preprint),10.1101/2024.10.17.618894,"GIAB, 1000G",1-D per-position signal channels (depth/split/discordant),1-D CNN (sv-channels),Deletions,Illumina short-read,Lightweight 1-D encoding avoids RGB overhead; filters deletions,Deletions; filter-oriented,Fixed channels; single-scale,"Multi-scale, learnable 1-D encoding; more SV types"
